,customer_id,club_member_status,fashion_news_frequency,age,postal_code
38,0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,ACTIVE,Regularly,44.0,930b19ae7db8abb5a27f4da10217755a7305b4c452f5e0b7644c8e97cbeef4f6
209,0008d30a148478dc88c69af6c51230ad5802590afc84889af16b661e64407408,ACTIVE,None,35.0,b1ea876cc67d31c655cfe224127b4b4271f38f496ac892da8185f2bf77973da8
330,000fb6e772c5d0023892065e659963da90b1866035558ec16fca51b0dcfb7e59,ACTIVE,Regularly,42.0,68ca4d9d6051d9c10b917d36bf9cb4afbadc551f7e4febf83cea27eeebff56de
455,0015251a0dcebac75714f68f50a9a282731dc2c8269f7a20cfa81e144fb27551,ACTIVE,Regularly,48.0,ffd9caae0193e3f4639aecc9769a3c3e9c89586034d02e010d1509a78b2d88d5
780,0024dea548c64fb75a563e0b300c0b16210decee446f1aa9ed6dcf2cc965d462,ACTIVE,None,68.0,e8d24bdc872f86a068c4b1f0f9a14fa9f8720fa196f32308a71386dd1d56c7de
1127,00357b192b81fc83261a45be87f5f3d59112db7d117513c1e908e6a7021edc35,ACTIVE,None,47.0,89125db58e99446654ab1d3f9ab0ed3acc4fe4791345881f3d9a0e903c20e052
1159,0036a44bd648ce2dbc32688a465b9628b7a78395302f26dd57b4ed75dce9b70c,ACTIVE,None,24.0,80d219071a6a17ba38b64c6e4f83899ab8351caaada34965bc0f2a354134874b
1354,003f1bdc9212bd81fd5ec35bf7285580103cd8a469340efed1d27f3b86d7f28f,ACTIVE,None,58.0,1827232a46e2d6f3c83e5e81034ef93d7d30624cf8db20098eb5f9f3c13f9cb3
1398,0040e2fc2d1e7931a38355aca56b2c62b87e65051b72878c813c093d7b9b87aa,ACTIVE,None,39.0,8d19ecf2057b7199b28648c237af6b048c495118325581ae831b269f7b405a69
1489,00459e5341c64d459a496c4cf5eb9016e2df3a34cbafaf3164aa7bd07a58f6f5,ACTIVE,Regularly,37.0,47189293b157ee89c0815e2e9f685616beec260740a21f5346d8b287935941dd
1497,0045ff4aad72162bce75d1fe148a8bbe7b59263ef26d9a22dd047dfcc2880242,ACTIVE,None,29.0,f7433a73842c59029589df31e3bdc71055d6b0272d54547d1eb1650ac94d3b24
1983,005e89af159f63c1280904d911e7f872683ab6223ecf33ca230de50e7bec7a61,ACTIVE,None,25.0,7fe31d60a1a94fef716563ac4f3570edd9416c1124b7289e09373e2fa8aa8656
2033,00609a1cc562140fa87a6de432bef9c9f0b936b259ad3075eb2a65008df1dbab,ACTIVE,None,28.0,0c5d2713506f601420dfb9184cff94fb78e97d1a0887c0e70a2348058e078034
2237,006a9ca03c41ae1a3bad232da1337fc5b49637c97ccb746588ea99e2b6874fa9,ACTIVE,Regularly,48.0,197a1527078c03c7fd7d353b3abebf1e5afc98224b2d9e37c17429b4c324f768
2420,00754012108569f9c99871720111a2b50aa7b6ebebe2a415914df8b8e5e120ff,ACTIVE,None,29.0,f222c56275387a47add0b4c70a8f02a6be88c623b4d588d9ae0c077fde924e6e
2476,0077922bc342aca5f3ad0a67198ce22779eeb89f9861b9634370a8dc14c18e79,ACTIVE,None,30.0,5697c573219e4624615667cb412319d7a0902305b92cda5c68eb3c8277d19efa
2519,00798bd464457d23d6af401715fe32d5c676ad9ee4010d6a3c02580994d31124,ACTIVE,None,29.0,c8b4383e80f90d4c617ac3339f13953603e53e619347d054da383a9e56bf7c45
2805,008625b10ff02a782de5a8c802ba48576863c7f48a57e7f1746a7e9e65606c2b,ACTIVE,None,31.0,d6dbbe667b68d49281e986bd3db35895a03dfcb4d7df7f8c3a7c106de0b0271d
2877,00896a51471298fc6828c783537d2798ea66fd009b83911048fcbead59691eed,ACTIVE,None,32.0,d500d69cafafe860c220872945f591c3368996d74e05b2c77b4c0e415c1a5464
2913,008ae11dd3105ae41a74f51a2581e1585cf69ac26cfc37610c30896ca2cf3c95,ACTIVE,None,26.0,c8ccb073f795a47fbe3d9a0c0118a8568291c48617cb956f5422ec732bc32104
3006,008fdadc3b5a58957554f466266bd9e601867b76b6a5067c462331d2807c1e3f,ACTIVE,Regularly,53.0,b535e0c6e268aefddf80274fef514d95c3d08fa8c88dc9183a7998d1621cd21c
3052,0091bb09e49f45bdaeb3dd80f7bf98b4b8e3e3e49347e6bc9ec9818d631dddee,ACTIVE,None,35.0,314125d3155736d82c1f1497efdc2560130f7a35a49524f191f960a88ab48263
3108,00946cc25063c5f61adcdcee5b7110947fbeb577ba50ffa154c41d1e1e5b9529,ACTIVE,None,47.0,1775674e8a41e7bbd2d3c0c964c82dd15099c44c766cc690d041cd59b3252b32
3235,009b11e116c9e8c992a1e556cc6949276e8cae80b9f708106f7092700e9dafdb,ACTIVE,Regularly,60.0,3850a6e9d3d7aee15970c01682e5b17cbc727956d4a3d608cbbc532be0f835ef
3593,00ae0902305060da3e462421478dae331f878090e32d1ae9a3737bff66c72fdb,ACTIVE,None,33.0,e7de7f80c612dc72e6ab6e8420cc69e29d0b84c93d28f751d3ef191be3ab6805
3608,00ae90f303ff3407777bc6d00ce28b4b6ce4ace5e4a504c5888c2a48d161c95e,ACTIVE,Regularly,30.0,89ea8707494e6fa57a43b3f99474f44242476c69c260d39ba4f83acd516687d2
3747,00b5bd5358a05155631bf733a933ecff5eb872f5143af59994ff3e62a97476d7,ACTIVE,Regularly,51.0,519777288ec273e9a29e873c4901d5186947b6d2aa743eaf8b19c7a3a6a48dbd
3767,00b6b8dadd374c6e4dbbe7c80ee83326f3122e718e66ddf3d69f973e6b5867bb,ACTIVE,Regularly,36.0,ec9f276bedae222c31e73e2d8387cf27ca4e85498fa6ba538cfbb5d864b64f9d
3941,00bf0105c8e7907542f29b22bb0c1c6a27de9cdf10ad9afdf57fc4ad11a2b0a5,ACTIVE,Regularly,34.0,168e425e8ad16829a7b92287d2c76cded90a9c8d69f90d64a95c219629f64048
4003,00c160fd797be9c52491373b16ec194d4edb129c57266e85e65bb9814a25490d,ACTIVE,Regularly,24.0,ff00631c6ec7b0902cbcfde3e49dcd986efc2e3e20745b0bca2fc0caf602e84a
4099,00c67fe3aea381b8aa9660bb1520318b8637bd234f7c67a04201499a149e6007,ACTIVE,None,38.0,79255218d092b02e1831e4dc7781fda10ee4e308f993d0f7c2427675e4f4a2f6
4408,00d40c65c316c02eac7fb0c628afbf57d616eed4b08f69ecfc115ca643a308af,ACTIVE,Regularly,56.0,719624b6b16a881b7b2e5e0e448534b4f0c4e3669de8047fb17d7b8dc1e16c98
4555,00daef2733086cfb0176a97646cb510472ca608f74c475b9f5b8c753a8a20b66,ACTIVE,Regularly,51.0,0ab959eefe5602ce0c9f9d7873ba98f36b9f38fc8d43b510e4e6184a0785ad0d
4572,00dbdde7ee48191d130f26d2555272433fbb93d94d07f304bb350c11954fa816,ACTIVE,Regularly,51.0,96ba59ff50b32cb84dd2de77b83c945090b41e77d10f64f7cf5bea60819c51b3
4746,00e59bc10e162c83758a8ece0d6536d96fe2c7afdae9d5f97e58e16bd2a32619,ACTIVE,None,25.0,f62a1c2adae9982ed78ad46bba2dd949bc5ce5225dfbd1ce6f817e8183e6bb8b
4815,00e8beeb81aa726db023197ca985886829ae3dbb9305ea6b3b05b1b5e97f757e,ACTIVE,None,33.0,75d1aba20c1a97eb578c039bd23c4dd703c6720a347b4cbcfc8993d7161d9331
4918,00ee654ae8772c8a1ef31c53a07b582ef6dd9c82ed111f6af756aec437742c1a,ACTIVE,None,28.0,6a38218d42c830b45acc6c1307c0005f97eba19036dff35cb4dfb9380c7504f1
4927,00eebac2c2e37626461e74e8395711964c4e01a7afa64337d020436c9dcb9f3d,ACTIVE,None,30.0,52756dda2fcc536507160aaefab7c77a743e80e59a332340e40fc422ced1a155
5118,00f717bcf927cf22eba51a2796a50c02aa746446f4f086b1a019e6954fe7dc5a,ACTIVE,Regularly,37.0,a843d340edb6e7032b0fe3e95c6dddac8fc715d51af3ad5a59a8c2494261f48f
5186,00fb78c72871ab2d103a1aafbd4c2aa15561af971aa41e259ca026b733a78e23,ACTIVE,None,28.0,776ff3321e32d11960c2178ac70180aac6c1bf76f47d45dabc85ecf2c0cac45f
5259,00fe8fb9b5a49ed8c38699c1860847c266f288da271b1c718f0179ac026080e4,ACTIVE,Regularly,39.0,0d5d9222f0869486c6cc8517f4fae5460c031cbd3a4117955c914508bec0bd49
5314,010109a899c4706836f7a96ec878ceb7ea9b0c246932058fe3770d1ae00f7afb,ACTIVE,None,30.0,a303259528bc1edccb2565c5718840eb5d70306c7c8c085218d3ec74868bbfe3
5386,0103f9ab1ef1592e19226a7f37a61ad6078d055d2e5516a15a78dd227f54b4ce,ACTIVE,None,54.0,216f12ece5d979db86df6990fdaa2ae31e596d34d61edc1f7a6c513f04519f05
5401,0104c49b082e0ae3de2a8c91e840dba408c78ed28eaf0e0721e51df203bea575,ACTIVE,None,58.0,d9a31c8366faa06eba8ce586a71fecb12adbc06414ff8cb7a2b73f682634e3e5
5634,010ef110c8b9e86abbd849e82a3bf418517c7c143c2e0c287fa4ae69fa682f5f,ACTIVE,None,40.0,54b4d994d6d35feef9b4374aff9466f4ccd849d1e13cc677845aa5fd3f3e9b86
5698,011152c11d38f214f2f2de6bf542a4cf75b19f36b8f914f5665b5c065889567d,ACTIVE,Regularly,50.0,6327bdccb03d45e33f00227e744acaa9885d857551eb3b91db3b4ec3461c1693
6057,0120cd1ef4db7d1a08c78f4fa92278322f5398fda305dc79b5e2c01aa134e92a,ACTIVE,None,32.0,d44894f0f218f43c5c597d09559c4f27374be31e8015e0532f358ed9448fdd74
6361,012f09c55044b1021523fadb21d9f3d3561121b8e62ac50c5d9fecd6231b13e3,ACTIVE,Regularly,51.0,2c4b1fcf1a36f3a3691c27ef02209b775bb004ffabdafad9b9bbcd67de2d1d2d
6374,012f7f47b97ea5c9643f7b3516cc5652b23bb2576ab7e7fe8a462000b4bf4d67,ACTIVE,Regularly,50.0,d58af81f1a71f55c5870a9dfde6c9bf8f00774ec52940d6eedefbcdc186e0b45
6626,013bcdd9809b4fe9ac2878497bd272cff97f74a446b12edcda90ce9ea51248a7,ACTIVE,None,38.0,73ee52174565621fcd8caa89c2542e2b175bc4653c7e5c19a426b3e98faeb4a1
6751,01443c1ba1de752aae49c4cd126cf24d6453d8162c01ccd60e11d3998af97c95,ACTIVE,Regularly,40.0,625526867d25f1e3a162655c8d4ff36c86838d100e76e7cc69de587bcd744a40
6782,0145a24bfeeb48c293b771e33f2b3eecb00a8442fa823eddac139c4c6466d988,ACTIVE,Regularly,29.0,2a3ea247390bfb25d5c260fb6e57fe46fdb7689a6fe498eeb592189909c553fb
6817,01471ae997220525c425057b31bf7f26ec40f2c02ccc468406b12a94687fc57e,ACTIVE,Regularly,27.0,e5141a1499049019c14721664539bb436fad4b067664b5063913e703a7e2a96c
